DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
8/8/16,218.4,218.52,217.74,218.05,0,2.58,0.02,1.6335,1.6624,0.76,19.01,1.13,0.8,0.04,L,0.49,21.61,94.5197,35.72,-0.2957,184674353794,0.2159,16,8,8,1
8/9/16,218.13,218.76,217.8,218.18,0,2.63,0.02,1.5661,1.646,0.77,18.73,1.14,0.79,0.03,L,0.49,21.61,95.8898,35.99,-0.4293,184869893479,-0.0379,16,8,9,2
8/10/16,218.31,218.4,217.23,217.64,0,2.68,0.02,1.5265,1.6301,0.78,18.93,1.42,0.8,0.03,L,0.5,21.61,95.0581,35.95,-1.4198,184153667093,-1.6602,16,8,10,3
8/11/16,218.26,218.94,217.95,218.65,0,2.73,0.02,1.5039,1.6154,0.76,18.98,1.7,0.79,0.02,L,0.53,21.61,96.2936,36.23,-0.5117,185722536213,0.391,16,8,11,4
8/12/16,218.29,218.71,217.99,218.46,0,2.78,0.02,1.4255,1.6005,0.76,19.03,1.99,0.79,0.01,L,0.53,21.61,96.5445,36.39,-1.1386,185531226661,-0.4983,16,8,12,5
8/15/16,218.89,219.5,218.88,219.09,0,2.83,0.03,1.3869,1.5867,0.77,19.03,2.28,0.78,0.0,L,0.54,21.61,97.4083,36.91,-0.0662,187080195254,1.5986,16,8,15,1
8/16/16,218.6,218.68,217.96,217.96,0,2.87,0.03,1.3612,1.5747,0.79,19.3,1.96,0.79,-0.0,B,0.5,21.61,91.8877,36.3,-2.4003,186201688955,-0.5358,16,8,16,2
8/17/16,218.0,218.53,217.02,218.37,0,2.92,0.03,1.3761,1.5649,0.79,19.48,6.09,0.86,-0.01,B,0.5,21.61,88.563,35.81,-2.3146,185969395035,-1.3172,16,8,17,3
8/18/16,218.34,218.9,218.21,218.86,0,2.97,0.03,1.3075,1.5576,0.75,19.53,6.09,0.85,-0.02,B,0.5,21.61,91.4222,35.94,-0.4782,187084400609,0.0782,16,8,18,4
8/19/16,218.31,218.75,217.74,218.54,0,3.02,0.03,1.2888,1.5518,0.75,19.63,6.22,0.85,-0.03,B,0.39,21.61,90.6192,35.53,-1.8203,186621642144,-1.1964,16,8,19,5
8/22/16,218.26,218.8,217.83,218.53,0,3.06,0.03,1.2569,1.5463,0.79,19.69,6.03,0.85,-0.04,B,0.39,21.59,90.186,35.15,-1.9845,185859849348,-2.9071,16,8,22,1
8/23/16,219.25,219.6,218.9,218.97,0,3.11,0.04,1.2382,1.5412,0.8,19.73,6.0,0.86,-0.05,B,0.39,21.5,92.6395,35.33,-0.4874,186950093306,-1.1714,16,8,23,2
8/24/16,218.8,218.91,217.36,217.85,0,3.15,0.04,1.2754,1.5363,0.84,19.83,5.97,0.86,-0.06,B,0.45,21.48,88.9472,34.38,-2.7944,185181745801,-4.3131,16,8,24,3
8/25/16,217.4,218.19,217.22,217.7,0,3.19,0.04,1.2448,1.5327,0.85,19.68,6.02,0.86,-0.07,B,0.39,21.42,87.7572,33.68,-2.299,185617372511,-3.4087,16,8,25,4
8/26/16,217.92,219.12,216.25,217.29,0,3.23,0.04,1.4074,1.5296,0.84,19.78,5.97,0.86,-0.08,B,0.4,21.36,84.0212,32.48,-3.39,184843718607,-4.5223,16,8,26,5
